id,department,code,chemicalName,tradeName,quantity,storage,use,hazards,ppe,updatedAt
DTCH-078,ผลิต,078,Peppermint oil,บริษัท ฮงฮวด จำกัด,12 kg,ห้องเตรียมยาใช้ภายนอก,เตรียมยาหม่อง,สารไวไฟ | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ,
DTCH-079,ไตเทียม,079,Peracetic acid 4.5 %,Peroxan-D,5 L,ห้องเก็บน้ำยา,,วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-080,จ่ายกลาง,080,"Polyacrylic Acid Salt,Sodium Xylene Sulfonate",,,,,วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-081,ไม่ระบุหน่วยงาน,081,Polyoxyethylene/Sorbitan monolourate,Spa Clean,,,,สารออกซิไดซ์,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-082,ผลิต,082,Propylene glycol,"P.C. Drug Center Co., Ltd.",20 kg,ห้องเตรียมยาใช้ภายนอก,เตรียม cream base,สารไวไฟ | อันตรายต่อสุขภาพ | ประเภทอื่น ๆ,ถุงมือ | หน้ากาก,
DTCH-083,ทันตกรรม,083,Rebase Fast Liquid,Tokuyama,1,ตู้เก็บของ,วัสดุทำฟันปลอม,สารไวไฟ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-084,LAB,084,Safranin (Gram stain),Safranin (Gram stain),2 ขวด,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-085,ผลิต,085,Salicylic acid,"P.C. Drug Center Co., Ltd.",7 kg,ห้องเตรียมยาใช้ภายนอก,เตรียม cream base,วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-086,ปฐมภูมิ,086,Sodium Hypochlorite 10%,โซเดียม ไฮโปคลอไรด์ 10%,20 ถัง,ห้องเก็บของระบบบำบัด,ใช้ในระบบบำบัดน้ำ,สารออกซิไดซ์ | วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสิ่งแวดล้อม,ถุงมือ | หน้ากาก | แว่นตา | เสื้อกันสารเคมี | รองเท้าบูท,
DTCH-087,ทันตกรรม,087,Sodium Hypochlorite 2.5%,Haiter,1,ตู้เก็บของ,วัสดุรักษารากฟัน,,ถุงมือ | หน้ากาก,
DTCH-088,OPD,088,Sodium Hypochlorite 6%,ไฮเตอร์,1×600 ml,ห้องเก็บของแม่บ้าน,น้ำยาซักผ้าขาว,วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา,
DTCH-089,ปฐมภูมิ,089,Sodium Hypochlorite Hydrated,โซเดียม ไฮโปคลอไรด์,1/2 ถัง,ห้องเก็บของระบบบำบัด,ใช้ในระบบบำบัดน้ำ,สารออกซิไดซ์ | วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสิ่งแวดล้อม,ถุงมือ | หน้ากาก | แว่นตา | เสื้อกันสารเคมี | รองเท้าบูท,
DTCH-090,ไม่ระบุหน่วยงาน,090,Sodium Lauryl Sulfate,"P.C. Drug Center Co., Ltd.",,,,สารไวไฟ | วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-091,ผลิต,091,Stearyl alcohol,"P.C. Drug Center Co., Ltd.",7 kg,ห้องเตรียมยาใช้ภายนอก,เตรียม cream base,สารไวไฟ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-092,ปฐมภูมิ,092,Temephos 1%,"เอส-ไบโอต้า, โปรเบท","6 ขวด, 12 ถัง",ห้องเก็บอุปกรณ์พ่นยุง,กำจัดยุงในบ้านเรือน,สารไวไฟ | วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม,ถุงมือ | รองเท้าบูท,
DTCH-093,ไม่ระบุหน่วยงาน,093,Ultrasound Gel,ULTRA CLEAR,,,,,,
DTCH-094,ทันตกรรม,094,Unifast trad,,2x104 ml,ตู้เก็บของ,,,ถุงมือ | หน้ากาก,
DTCH-095,ผลิต,095,White oil,"P.C. Drug Center Co., Ltd.",15 kg,ห้องเตรียมยาใช้ภายนอก,เตรียมยาหม่อง,สารไวไฟ | อันตรายต่อสิ่งแวดล้อม,ถุงมือ,
DTCH-096,ผลิต,096,White vaseline,"P.C. Drug Center Co., Ltd.",275 kg,ห้องเตรียมยาใช้ภายนอก,เตรียมยาหม่อง,สารไวไฟ | ประเภทอื่น ๆ,ถุงมือ,
